"Sex" "Wingcrd" "Tarsus" "Head" "Wt"
"Male" 58.5 22.1 32.1 19.9
"Male" 57 21.1 32.1 19.5
"Female" 57 21 32.1 18.9
"Male" 58.5 22 32.4 20.5
"Male" 59.5 20.8 32.4 21.5
"Male" 57.5 21.4 32.6 21.5
"Male" 60 21.1 31 20.2
"Male" 56.5 20.4 31.2 20
"Male" 56 20.7 31.3 20
"Male" 57 21.2 31.5 20.5
"Male" 57 20.6 31.7 19
"Male" 56 20.4 31.8 19.5
"Female" 53 20.5 31.9 19
"Male" 56.5 21.8 32.1 19.5
"Male" 58 21.3 32.6 20.5
"Male" 57 20.7 30.5 19.5
"Female" 54 19.4 30.7 17.2
"Male" 56.5 21.6 31.1 19.2
"Male" 57.5 21 31.1 19.5
"Female" 54.5 20.1 31.2 17.7
"Female" 53.5 21 31.3 22
"Male" 59 21.5 31.5 21.2
"Female" 57 20.5 31.5 22
"Male" 57.5 20.8 31.7 17.5
"Female" 55 20.8 31.7 19.7
"Male" 57 19.9 31.7 19.1
"Male" 58 20.5 31.8 18.7
"Male" 57 21.4 31.9 20.5
"Male" 59 20.5 31.9 22
"Male" 55 21.4 32 20.2
"Male" 58 21.1 32 22.2
"Male" 57 21.4 32.1 21.8
"Male" 58 21.4 32.4 22.5
"Male" 59 20.9 30.1 19.8
"Male" 59 20.5 31.3 21
"Male" 60.5 21.6 31.5 21.5
"Male" 57 21.7 31.7 19.6
"Male" 58 21.2 31.7 21
"Male" 58.5 21.5 31.8 21
"Male" 59 21.7 31.9 18.8
"Male" 58.5 20.8 32.3 20
"Female" 54 19.5 30.8 17.5
"Male" 58 20.2 31.5 20.5
"Male" 58 21.6 32.3 20
"Male" 59 21.1 30.8 19.2
"Male" 57.5 21.5 31.5 19
"Male" 58 21.4 31.5 19.8
"Male" 58 20.8 31.5 19.6
"Male" 61.5 21.3 31.9 21
"Male" 57 20.2 31.9 20.2
"Male" 58 21.6 31.3 20.5
"Female" 54.5 20.2 31.3 18
"Male" 57.5 21.6 31.1 20.5
"Female" 60 23.5 33.8 22.5
"Male" 61 24.1 35.3 24.8
"Female" 58.8 22 33.6 22.5
"Male" 61 24.1 35.6 23.2
"Male" 59 23.8 34.5 22
"Male" 61 23.2 33.6 22.1
"Female" 61 21.7 33.3 20.5
"Female" 59 22.1 33.6 24.6
"Male" 57 22.4 33.9 21
"Male" 64.5 22.9 35.1 25.8
"Male" 63 23.2 34.6 22.6
"Female" 57 23.4 32.1 20.5
"Male" 60 21.7 33.4 23.6
"Female" 59.5 22.1 33.5 21.5
"Male" 62.5 21.2 34.3 23.5
"Male" 63 22.6 34.4 21.9
"Female" 58.5 22.8 33.2 21
"Female" 57 23 33.3 20.1
"Male" 61.5 22.6 33.4 23
"Male" 60 23.5 33.8 25
"Male" 64 24 33.9 23.5
"Male" 65 22.6 34.6 23.8
"Female" 57.5 22.6 33.3 25
"Male" 62 23.3 33.9 23.5
"Male" 63.5 21.9 34.1 25.5
"Male" 62 24.4 34.5 24.5
"Female" 60 22.2 31.1 24.1
"Male" 63 23.6 34 23.5
"Male" 61 22.9 33.7 23.2
"Male" 59 22.8 32.5 21
"Male" 57 20.7 32.1 19.4
"Male" 56.5 20.7 31.2 19.5
"Male" 61 22.1 32 21.7
"Male" 59 22.5 32.4 20.2
"Male" 59 22.9 32.5 22
"Male" 59.5 21.5 32.5 21.5
"Male" 58 21.2 31.2 20.4
"Male" 58 21.3 31.5 20
"Female" 55 20.9 31.6 17.3
"Male" 57.5 21.2 32.1 21.5
"Male" 58 21.3 32.2 20
"Male" 58 22.5 32.4 20.8
"Female" 55 20.5 31.3 16.4
"Male" 60 21.3 31.5 20.3
"Male" 57 21 31.8 19.5
"Male" 60 22.4 33 21.2
"Female" 54.5 21 31.1 17.5
"Male" 58 21.6 31.2 19.8
"Male" 59.5 21.6 31.2 20.3
"Male" 58 21.6 31.5 19.2
"Female" 56 20.9 31.5 20.4
"Male" 57.5 21.8 31.6 19.9
"Male" 58 22.4 31.8 20.3
"Female" 55 21.4 31.8 17.5
"Female" 55.5 21.3 31.8 18.7
"Male" 60 21 32 20.2
"Male" 59.5 21.5 32.1 20.5
"Female" 54.5 20.8 32.2 19.2
"Female" 54.5 21.8 31.5 16.5
"Male" 60 21.8 31.6 19.2
"Male" 59 20.7 31.6 20.4
"Male" 58 20.4 32 19.3
"Male" 58.5 22.3 32.4 20.8
"Male" 57.5 22.1 31 21
"Male" 60 21.5 31.2 19
"Female" 56 21.2 31.2 18.5
"Male" 59 21.1 31.5 20.5
"Male" 61 21.9 31.7 19.8
"Male" 56 21.9 31.8 20.6
"Female" 53.5 21.2 31.8 18.8
"Male" 59 21.8 31.9 21.7
"Male" 58 22.8 32 20
"Male" 59 22.1 31.2 19.2
"Male" 58 21.6 31.5 19.8
"Male" 61 20.6 31.6 19.8
"Male" 66 24.1 35.2 23.8
"Male" 62.5 24.2 34.5 23.2
"Male" 60.5 23.5 34.5 21.4
"Male" 61.5 25 34.7 22.6
"Male" 57.5 21.6 33.1 20.7
"Male" 57 21.8 32.6 21
"Female" 53 20.5 31.5 17.4
"Male" 59.5 22.1 32.1 21.7
"Male" 59.5 21.8 32.1 22.4
"Male" 58 20.9 32.5 20.2
"Male" 59.5 22.5 32.6 21.4
"Male" 59.5 21.6 32.6 20.3
"Male" 59 21.6 31.9 19.6
"Female" 55.5 21.8 32.1 21.3
"Male" 59 21.5 32.2 20.6
"Male" 59 21.8 32.8 21.2
"Female" 54 21.1 31.3 15.8
"Female" 56.5 21.9 31.6 17.1
"Male" 58 21.6 31.6 25.5
"Female" 54.5 20.5 31.6 18.4
"Male" 57 21.1 32.3 18.2
"Male" 60 22 32.7 20.6
"Male" 57 22 33 23
"Female" 55.5 20.6 30.3 21
"Female" 54.5 20.1 31 20.5
"Male" 54.5 21.2 31.5 18.8
"Male" 57.5 21.5 31.7 19.7
"Male" 57.5 21.5 31.8 20
"Male" 58.5 21.9 32 20.2
"Male" 59 21.4 32 22
"Male" 57 21.6 32.1 18
"Male" 59 21.1 32.1 19.2
"Female" 54.5 20.8 32.1 16.6
"Male" 59 22 32.2 20.5
"Male" 58 21.3 32.2 21.9
"Male" 56 22 32.3 19.3
"Male" 59.5 21.5 32.3 21
"Male" 57 21.4 32.4 20.7
"Female" 56 21.2 33 20.7
"Female" 52.5 18.9 29.2 16.3
"Male" 58.5 20.7 31.3 19
"Female" 56 19.7 31.4 20.5
"Female" 55 20.8 31.9 19.1
"Male" 59 20.5 31.9 19.9
"Male" 58.5 21 32 20.4
"Male" 58.5 21.5 32.2 20.3
"Male" 59 21.2 32.2 20.6
"Male" 58 21.2 32.3 19.5
"Male" 59.5 21 32.3 20.9
"Male" 59.5 22.2 32.5 21.9
"Male" 59 20.8 32.5 21.3
"Male" 58.5 22.7 32.8 22.1
"Male" 59 21.2 32.8 19.7
"Male" 60 22.8 31.7 22.2
"Male" 60.5 21 31.8 20.6
"Female" 54.5 20.9 31.8 19.7
"Male" 57.5 22.1 32.2 19.9
"Male" 59.5 21.9 32.3 20
"Male" 57.5 21.6 32.3 21
"Female" 56 21 31 19.2
"Female" 55 20.3 31.4 17.9
"Male" 58 20.6 31.7 20.4
"Female" 56.5 20.5 31.7 18
"Female" 55.5 20.3 31.7 19.4
"Male" 59.5 20.6 31.9 20.9
"Male" 58.5 21.7 32.3 22.1
"Male" 58 20.9 30.9 20.1
"Male" 58.5 21.5 31.2 20
"Female" 56 20.4 31.2 19.9
"Male" 57 21.7 31.3 19
"Female" 56 20.6 31.4 19
"Female" 55 20.5 31.4 19.5
"Male" 59.5 21.7 31.5 21.2
"Male" 57.5 20.8 31.5 19.6
"Male" 59 20.9 31.6 21
"Male" 58 21.2 31.7 19.2
"Male" 58.5 21.4 31.8 20.6
"Female" 53 20.5 32.1 17.2
"Male" 59 20.1 32.4 21.3
"Female" 55 19.5 30.5 18.9
"Male" 60.5 21.8 31.1 21.6
"Female" 55 20.6 31.3 21.5
"Male" 57 22.4 31.8 19.2
"Male" 56 21.6 31.8 19.7
"Male" 56 21.1 32 18.9
"Male" 59.5 20.5 32 20.6
"Female" 55 20 30.7 16.6
"Male" 59 21.7 31.3 19.9
"Female" 53.5 20.8 31.3 17.8
"Male" 56 20.5 31.3 19.7
"Male" 58 21.2 31.6 19.6
"Female" 56 20.3 31.6 17.5
"Male" 58 21.5 31.8 20.5
"Female" 56 21.3 31.8 19.9
"Male" 59 21.3 32 21.2
"Male" 59 20.3 32.3 19.7
"Female" 55.5 21.1 31 17
"Male" 58 20.7 31.7 19
"Female" 54 21.4 31.9 20.9
"Male" 59 20.9 31.9 20.5
"Female" 56.5 20 30 17.9
"Male" 55.5 20.2 31.1 21.6
"Male" 62 22.6 34.6 22.6
"Male" 63 24.3 34.5 24.1
"Male" 62.5 24 34.9 24.5
"Female" 58 22.4 33.9 21
"Male" 60 25 35.2 24.9
"Female" 56.5 22.8 33.5 20.2
"Female" 58 22.6 34 23.6
"Female" 60 23 34.2 25.4
"Male" 62 23.8 33.3 23
"Female" 58.5 23.1 33 21
"Female" 59.5 23.4 33.5 24.8
